species,Orden,Mean_brain_mass_g,Mean_body_mass_g,Fuentes,Body_for_3D
Abeomelomys_sevia,Rodentia,1.49,61.4,"Boddy et al., 2012",NA
Abrocoma_bennettii,Rodentia,3.15,250,Scan,"Faurby et al., 2018"
Acerodon_celebensis,Chiroptera,5.18,390,Scan,"Faurby et al., 2018"
Acerodon_jubatus,Chiroptera,8.26,1075,"Shi et al., 2018","Faurby et al., 2018"
Acinonyx_jubatus,Carnivora,111,43000,"Isler & van Schaik, 2012",NA
Acomys_cahirinus,Rodentia,0.7,31,"Isler & van Schaik, 2012",NA
Acomys_wilsoni,Rodentia,0.58,18.5,"Boddy et al., 2012",NA
Aconaemys_fuscus,Rodentia,1.89,133.5,Scan,"Faurby et al., 2018"
Acrobates_pygmaeus,Diprotodontia,0.35,12,"Ashwell, 2008; Weisbecker et al., 2015",NA
Addax_nasomaculatus,Artiodactyla,185,107000,"Isler & van Schaik, 2012",NA
Aepyceros_melampus,Artiodactyla,175,57610,"Boddy et al., 2012",NA
Aepyprymnus_rufescens,Diprotodontia,12.3,2600,"Ashwell, 2008; Weisbecker et al., 2015",NA
Aeromys_tephromelas,Rodentia,10.34,1189,"Boddy et al., 2012",NA
Aethomys_chrysophilus,Rodentia,1.25,117,"Boddy et al., 2012",NA
Aethomys_hindei,Rodentia,1.42,146.3,"Boddy et al., 2012",NA
Aethomys_namaquensis,Rodentia,0.9,79.4,"Boddy et al., 2012",NA
Ailuropoda_melanoleuca,Carnivora,205,87500,"Isler & van Schaik, 2012",NA
Ailurus_fulgens,Carnivora,46.8,5590,"Boddy et al., 2012",NA
Akodon_azarae,Rodentia,0.64,25,"Burger et al., 2019",NA
Alcelaphus_buselaphus,Artiodactyla,284.9,114750,"Isler & van Schaik, 2012",NA
Alces_alces,Artiodactyla,436,200000,"Boddy et al., 2012",NA
Allactaga_sibirica,Rodentia,3.5,193,"Boddy et al., 2012",NA
Allenopithecus_nigroviridis,Primates,58.02,4655,"Isler et al., 2008",NA
Allochrocebus_lhoesti,Primates,74.2,4710,"Isler et al., 2008",NA
Alouatta_belzebul,Primates,52.84,6395,"Isler et al., 2008",NA
Alouatta_caraya,Primates,50.7,5012.5,"Boddy et al., 2012",NA
Alouatta_guariba,Primates,49.1,4550,"Isler & van Schaik, 2012",NA
Alouatta_macconnelli,Primates,61.33,6398.31,"Isler et al., 2008",NA
Alouatta_palliata,Primates,50.04,5952,"Boddy et al., 2012",NA
Alouatta_pigra,Primates,51.13,8915,"Isler et al., 2008",NA
Alouatta_sara,Primates,59.08,6611.04,"Isler et al., 2008; Jones et al., 2009",NA
Alouatta_seniculus,Primates,45.5,2827.5,"Boddy et al., 2012",NA
Ametrida_centurio,Chiroptera,0.29,10.5,"Jones & MacLarnon, 2004",NA
Ammospermophilus_harrisii,Rodentia,2.41,107.15,"Mateju, 2016",NA
Ammospermophilus_interpres,Rodentia,2.5,94.45,"Mateju, 2016",NA
Ammospermophilus_leucurus,Rodentia,2.25,105.85,"Mateju, 2016",NA
Ammotragus_lervia,Artiodactyla,209,110000,"Isler & van Schaik, 2012",NA
Anoura_caudifer,Chiroptera,0.42,10.5,"Jones & MacLarnon, 2004",NA
Anoura_cultrata,Chiroptera,0.48,16.9,"Shi et al., 2018","Faurby et al., 2018"
Anoura_geoffroyi,Chiroptera,0.58,15,"Jones & MacLarnon, 2004",NA
Anoura_latidens,Chiroptera,0.53,14.7,"Shi et al., 2018","Faurby et al., 2018"
Antechinomys_laniger,Dasyuromorphia,0.47,25,"Ashwell, 2008; Weisbecker et al., 2015",NA
Antechinus_agilis,Dasyuromorphia,0.56,24,"Ashwell, 2008; Weisbecker et al., 2015",NA
Antechinus_bellus,Dasyuromorphia,0.63,45,"Ashwell, 2008; Weisbecker et al., 2015",NA
Antechinus_flavipes,Dasyuromorphia,0.64,45,"Ashwell, 2008; Weisbecker et al., 2015",NA
Antechinus_leo,Dasyuromorphia,0.75,74,"Ashwell, 2008; Weisbecker et al., 2015",NA
Antechinus_minimus,Dasyuromorphia,0.74,53.5,"Ashwell, 2008; Weisbecker et al., 2015",NA
Antechinus_stuartii,Dasyuromorphia,0.76,27.5,"Ashwell, 2008; Weisbecker et al., 2015",NA
Antechinus_subtropicus,Dasyuromorphia,0.72,28.5,"Ashwell, 2008; Weisbecker et al., 2015",NA
Antechinus_swainsonii,Dasyuromorphia,1.09,53,"Ashwell, 2008; Weisbecker et al., 2015",NA
Antidorcas_marsupialis,Artiodactyla,135,36518,"Isler & van Schaik, 2012",NA
Antilocapra_americana,Artiodactyla,125.6,46750,"Isler & van Schaik, 2012",NA
Antilope_cervicapra,Artiodactyla,110.8,28800,"Isler & van Schaik, 2012",NA
Antrozous_pallidus,Chiroptera,0.31,20.8,"Shi et al., 2018","Faurby et al., 2018"
Aonyx_capensis,Carnivora,94.6,19110,"Isler & van Schaik, 2012",NA
Aonyx_cinereus,Carnivora,38.09,4060,"Gittleman, 1986",NA
Aotus_azarae,Primates,20.7,1230,"Isler & van Schaik, 2012",NA
Aotus_lemurinus,Primates,113.5,9026.5,"Boddy et al., 2012",NA
Aotus_nancymaae,Primates,17.89,787,"van Woerden et al., 2010; Heldstab et al., 2018",NA
Aotus_trivirgatus,Primates,16.04,701.68,"Boddy et al., 2012",NA
Aotus_vociferans,Primates,17.7,703,"van Woerden et al., 2010; Isler et al., 2008",NA
Aplodontia_rufa,Rodentia,7.04,806,"Boddy et al., 2012",NA
Apodemus_agrarius,Rodentia,0.2,33.3,"Boddy et al., 2012",NA
Apodemus_flavicollis,Rodentia,0.7,32.3,"Boddy et al., 2012",NA
Apodemus_sylvaticus,Rodentia,0.59,20.1,"Boddy et al., 2012",NA
Arctictis_binturong,Carnivora,40.85,11470,"Gittleman, 1986",NA
Arctocebus_aureus,Primates,5.88,210,"Isler et al., 2008",NA
Arctocebus_calabarensis,Primates,6.92,309,"Isler et al., 2008",NA
Arctocephalus_australis,Carnivora,307.5,103750,"Boddy et al., 2012",NA
Arctocephalus_forsteri,Carnivora,320,109690,"Boddy et al., 2012",NA
Arctocephalus_galapagoensis,Carnivora,291.25,45950,"Boddy et al., 2012",NA
Arctocephalus_gazella,Carnivora,340,96600,"Boddy et al., 2012",NA
Arctocephalus_philippii,Carnivora,415,140000,"Boddy et al., 2012",NA
Arctocephalus_pusillus,Carnivora,369.38,178750,"Boddy et al., 2012",NA
Arctocephalus_tropicalis,Carnivora,326.25,101250,"Boddy et al., 2012",NA
Arctogalidia_trivirgata,Carnivora,21.98,2460,"Gittleman, 1986",NA
Arctonyx_collaris,Carnivora,49.4,10490,"Isler & van Schaik, 2012",NA
Ardops_nichollsi,Chiroptera,0.61,15,"Jones & MacLarnon, 2004",NA
Arielulus_circumdatus,Chiroptera,0.23,10.4,"Jones & MacLarnon, 2004",NA
Ariteus_flavescens,Chiroptera,0.43,11.9,"Shi et al., 2018","Faurby et al., 2018"
Artibeus_concolor,Chiroptera,0.63,19.4,"Jones & MacLarnon, 2004",NA
Artibeus_fimbriatus,Chiroptera,1.11,63.9,"Shi et al., 2018","Faurby et al., 2018"
Artibeus_fraterculus,Chiroptera,0.8,39.5,"Shi et al., 2018","Faurby et al., 2018"
Artibeus_hirsutus,Chiroptera,0.5,38.7,"Shi et al., 2018","Faurby et al., 2018"
Artibeus_jamaicensis,Chiroptera,0.98,39.33,"Jones & MacLarnon, 2004",NA
Artibeus_lituratus,Chiroptera,1.17,56.73,"Jones & MacLarnon, 2004",NA
Artibeus_planirostris,Chiroptera,1.14,47,"Shi et al., 2018","Faurby et al., 2018"
Arvicanthis_niloticus,Rodentia,1.33,84.5,"Boddy et al., 2012",NA
Arvicola_amphibius,Rodentia,1.64,168.3,"Boddy et al., 2012",NA
Asellia_tridens,Chiroptera,0.24,12.8,"Jones & MacLarnon, 2004",NA
Aselliscus_stoliczkanus,Chiroptera,0.15,4.9,"Jones & MacLarnon, 2004",NA
Aselliscus_tricuspidatus,Chiroptera,0.13,4.4,"Jones & MacLarnon, 2004",NA
Atelerix_albiventris,Eulipotyphla,2.24,280,"Boddy et al., 2012",NA
Atelerix_algirus,Eulipotyphla,3.2,790,"Boddy et al., 2012",NA
Ateles_belzebuth,Primates,112.7,8484,"Isler & van Schaik, 2012",NA
Ateles_chamek,Primates,99,9370,"Isler et al., 2008",NA
Ateles_fusciceps,Primates,113.6,9026.5,"Boddy et al., 2012",NA
Ateles_geoffroyi,Primates,104.96,5774,"Boddy et al., 2012",NA
Ateles_hybridus,Primates,103.05,7862.25,"Isler et al., 2008",NA
Ateles_marginatus,Primates,97,3201,"Burger et al., 2019",NA
Ateles_paniscus,Primates,108.96,3430,"Boddy et al., 2012",NA
Atelocynus_microtis,Carnivora,62.18,9030,"Gittleman, 1986",NA
Atherurus_africanus,Rodentia,21.89,3152.5,"Boddy et al., 2012",NA
Atherurus_macrourus,Rodentia,31.57,2000,"Stankowich & Romero, 2017",NA
Atilax_paludinosus,Carnivora,28.5,3670,"Gittleman, 1986",NA
Avahi_laniger,Primates,10.49,1285,"Boddy et al., 2012",NA
Avahi_occidentalis,Primates,7.95,801.4,"Isler et al., 2008",NA
Axis_axis,Artiodactyla,219,88450,"Boddy et al., 2012",NA
Axis_porcinus,Artiodactyla,142,30000,"Isler & van Schaik, 2012",NA
Babyrousa_babyrussa,Artiodactyla,127,78000,"Isler & van Schaik, 2012",NA
Balaena_mysticetus,Cetacea,2738,90999999.93,"Montgomery et al., 2013",NA
Balaenoptera_acutorostrata,Cetacea,2850,5587093.59,"Patzke et al., 2013;Jones et al ., 2009",NA
Balaenoptera_borealis,Cetacea,4900,36666666.67,"Boddy et al., 2012",NA
Balaenoptera_musculus,Cetacea,3636,50903999.97,"Montgomery et al., 2013",NA
